equation_set,equation_type,term_name,coefficient
15,x,d^2y/dt^2_x,0.002731426460503065
15,x,t_x,0.24253574493501365
15,x,t^2_x,0.001093474714351682
15,x,x*dx/dt_x,-0.447213595499958
15,x,y*dy/dt_x,-0.006012461413823786
15,x,dx/dt*dy/dt_x,-0.0032387816417683434
15,x,dx/dt*d^2x/dt^2_x,-0.0013653206508627523
15,x,dx/dt*d^2y/dt^2_x,-1.4142135623730951
15,x,dx/dt*t_x,-0.00038488208574732067
15,x,d^2y/dt^2*t_x,0.0030819744982802802
15,x,d^2y/dt^2*sin_x,-0.0017778395514278821
15,y,C_y,0.41470630343300297
15,y,x_y,-0.5298371229338622
15,y,y_y,0.005625498088267205
15,y,dx/dt_y,0.2992493641675836
15,y,d^2x/dt^2_y,0.25695995531010873
15,y,dy/dt_y,0.5361287780238304
15,y,d^2y/dt^2_y,-0.23919424783683096
15,y,t^2_y,-0.013544387834553423
15,y,y*d^2y/dt^2_y,0.44190881539394905
15,y,dy/dt*dx/dt_y,-2.796291532582697
15,y,dy/dt*d^2x/dt^2_y,-0.0002634896123162015
15,y,d^2x/dt^2*d^2y/dt^2_y,0.44472781103630765
15,y,t*d^2y/dt^2_y,-0.006976343078189553
15,y,t^2*y_y,-2.231466343118147
15,y,dx/dt*sin_y,0.4443587916236799
15,y,dx/dt*cos_y,0.00458274934569667
16,x,C_x,-0.26205367592559775
16,x,x_x,-0.029473090592462607
16,x,y_x,0.22998595595294946
16,x,dx/dt_x,0.34055086690126485
16,x,d^2x/dt^2_x,-0.7977240352174656
16,x,dy/dt_x,-1.193778907886542
16,x,d^2y/dt^2_x,0.00013670775122116128
16,x,t_x,0.24253574493501365
16,x,t^2_x,-0.012873009164467
16,x,x*dx/dt_x,2.23606797749979
16,x,y*dy/dt_x,-0.006993510227708872
16,x,dx/dt*dy/dt_x,0.009864482506841316
16,x,dx/dt*d^2x/dt^2_x,0.0006723856509892279
16,x,dx/dt*d^2y/dt^2_x,0.6985895960548053
16,x,dx/dt*t_x,-0.00017727591432536722
16,x,d^2y/dt^2*t_x,0.011422770951751393
16,x,d^2y/dt^2*sin_x,-0.0036877898725931222
16,y,C_y,-3.171357185623252
16,y,x_y,2.6223848695299825
16,y,y_y,0.017113092388566
16,y,dx/dt_y,0.2985404034090821
16,y,d^2x/dt^2_y,0.24243440622827356
16,y,dy/dt_y,-1.8708248907421687
16,y,d^2y/dt^2_y,-0.24288142406390206
16,y,t^2_y,-0.003968240141675889
16,y,y*d^2y/dt^2_y,0.44721359549995787
16,y,dy/dt*dx/dt_y,0.3107310697175856
16,y,dy/dt*d^2x/dt^2_y,-0.007563533075310465
16,y,d^2x/dt^2*d^2y/dt^2_y,0.44721359549995787
16,y,t*d^2y/dt^2_y,0.005926045300527948
16,y,t^2*y_y,0.4472135954999579
16,y,dx/dt*sin_y,0.4469685118965376
16,y,dx/dt*cos_y,-0.004012239833758973
17,x,C_x,-0.2386980893021756
17,x,x_x,-0.018340731735659102
17,x,y_x,0.24376115236425064
17,x,dx/dt_x,0.35187970197428825
17,x,d^2x/dt^2_x,1.2535663410560176
17,x,dy/dt_x,0.5258735439111837
17,x,d^2y/dt^2_x,-0.000196947232061205
17,x,t_x,0.24253574493501365
17,x,t^2_x,-0.004366597900371142
17,x,x*dx/dt_x,-0.4449622213787008
17,x,y*dy/dt_x,0.00824430829946902
17,x,dx/dt*dy/dt_x,0.0025686637411238117
17,x,dx/dt*d^2x/dt^2_x,0.013696901032765852
17,x,dx/dt*d^2y/dt^2_x,-1.4142135623730951
17,x,dx/dt*t_x,-0.0046352100412619555
17,x,d^2y/dt^2*t_x,-0.008918660418050313
17,x,d^2y/dt^2*sin_x,0.0006890902274043448
17,y,C_y,-1.6892590634266438
17,y,x_y,1.3444731440101456
17,y,y_y,0.006868466039389989
17,y,dx/dt_y,0.28654196184274544
17,y,d^2x/dt^2_y,-4.11078698701499
17,y,dy/dt_y,-1.8554827760673946
17,y,d^2y/dt^2_y,-0.24436830979701876
17,y,t^2_y,0.005593883751702806
17,y,y*d^2y/dt^2_y,0.44721359549995787
17,y,dy/dt*dx/dt_y,0.31673807893320527
17,y,dy/dt*d^2x/dt^2_y,-0.007455902824349213
17,y,d^2x/dt^2*d^2y/dt^2_y,0.4397468653751302
17,y,t*d^2y/dt^2_y,0.00029700457809705023
17,y,t^2*y_y,0.4466591360087733
17,y,dx/dt*sin_y,0.4462537636840985
17,y,dx/dt*cos_y,-0.0035620790888974308
18,x,C_x,0.05373353270722908
18,x,x_x,-1.543918076512067
18,x,y_x,0.2410129193890762
18,x,dx/dt_x,0.34233551447027605
18,x,d^2x/dt^2_x,-0.7779871527356766
18,x,dy/dt_x,0.5233314752963896
18,x,d^2y/dt^2_x,0.001782332688161954
